;0;1;2;3
179;IPGP;IPG Photonics Corp;Information Technology;view
180;ISCA;Intl Speedway Corp A;Consumer Discretionary;view
181;ISIL;Intersil Corp A;Information Technology;view
182;IT;Gartner Inc;Information Technology;view
183;ITRI;Itron Inc;Information Technology;view
184;ITT;ITT Corp;Consumer Discretionary;view
185;JAH;Jarden Corp;Consumer Discretionary;view
"186;JBHT;""J.B. Hunt Transport Services; Inc."";Industrials;view"
187;JBL;Jabil Circuit Inc;Information Technology;view
188;JBLU;JetBlue Airways Corp;Industrials;view
189;JCP;J C Penney Company Inc;Consumer Discretionary;view
190;JDSU;JDS Uniphase Corp;Information Technology;view
191;JKHY;Jack Henry & Associates Inc;Information Technology;view
192;JLL;Jones Lang Lasalle Inc;Financials;view
193;JNS;Janus Capital Group Inc;Financials;view
194;JW.A;John Wiley & Sons Inc. 'A';Consumer Discretionary;view
195;KATE;Kate Spade & Co;Consumer Discretionary;view
196;KBH;KB Home;Consumer Discretionary;view
197;KBR;KBR Inc;Industrials;view
198;KEX;Kirby Corp;Industrials;view
199;KEYS;Keysight Technologies Inc;Information Technologies;view
200;KLXI;KLX Inc;Industrials;view
201;KMPR;Kemper Corporation;Industrials;view
202;KMT;Kennametal Inc;Industrials;view
203;KN;Knowles Corp;Information Technology;view
204;KRC;Kilroy Realty Corp;Financials;view
205;LAMR;Lamar Advertising Co-A;Consumer Discretionary;view
206;LANC;Lancaster Colony Corp;Consumer Staples;view
207;LDOS;Leidos Holdings Inc;Information Technology;view
208;LECO;Lincoln Electric Holdings Inc.;Industrials;view
209;LHO;LaSalle Hotel Properties;FInancials;view
210;LII;Lennox International Inc;Industrials;view
211;LKQ;LKQ Corp;Consumer Discretionary;view
212;LNT;Alliant Energy Corp;Utilities;view
213;LPNT;Lifepoint Hospitals Inc;Health Care;view
214;LPT;Liberty Property Trust;Financials;view
215;LPX;Louisiana-Pacific Corp;Materials;view
216;LSTR;Landstar System Inc;Industrials;view
217;LXK;Lexmark International Inc;Information Technology;view
218;LYV;Live Nation Entertainment Inc;Consumer Discretionary;view
219;MAA;Mid-America Apartment Communities Inc;Financials;view
220;MAN;Manpower Inc;Industrials;view
221;MANH;Manhattan Associates Inc.;Information Technology;view
222;MBFI;MB Financial Inc.;Financials;view
223;MCY;Mercury General Corp;Financials;view
224;MD;Mednax Inc;Health Care;view
225;MDC;[MDC Holdings Inc.]];Consumer Discretionary;view
226;MDP;Meredith Corp;Consumer Discretionary;view
227;MDRX;Allscripts Healthcare Soluti;Health Care;view
228;MDU;MDU Resources Group Inc;Utilities;view
229;MENT;Mentor Graphics Corp;Information Technology;view
"230;MLHR;""Miller; Herman Inc"";Industrials;view"
231;MMS;Maximus Inc;Information Technology;view
232;MSA;Mine Safety Appliances;Industrials;view
233;MSCC;Microsemi;Technology;view
234;MSCI;MSCI Inc;Financials;view
235;MSM;MSC Industrial Direct A;Industrials;view
236;MTD;Mettler-Toledo Intl;Health Care;view
237;MTX;Minerals Technologies Inc;Materials;view
238;MUSA;Murphy USA Inc;Consumer Discretionary;view
239;NATI;National Instruments Corp;Information Technology;view
240;NBR;Nabors Industries Ltd;Energy;view
241;NCR;NCR Corp;Information Technology;view
242;NDSN;Nordson Corp;Industrials;view
243;NEU;NewMarket Corp;Materials;view
244;NFG;National Fuel Gas;Utilities;view
245;NNN;National Retail Properties Inc;Financials;view
"246;NSR;""NeuStar; Inc."";Information Technology;view"
247;NVR;NVR Inc;Consumer Discretionary;view
248;NYCB;New York Community Bancorp Inc;Financials;view
249;NYT;The New York Times Company;Consumer Discretionary;view
250;OA;Orbital ATK Inc;Industrials;view
251;OCR;Omnicare Inc;Health Care;view
252;ODFL;Old Dominion Freight Line Inc;Industrials;view
253;ODP;Office Depot Inc;Consumer Discretionary;view
254;OFC;Corporate Office Properties;Financials;view
255;OGE;OGE Energy Corp;Utilities;view
256;OGS;ONE Gas Inc;Utilities;view
257;OHI;Omega Healthcare Investors;Financials;view
258;OII;Oceaneering Intl Inc;Energy;view
259;OIS;Oil States Intl Inc;Energy;view
260;OLN;Olin Corp.;Materials;view
261;OMI;Owens & Minor Inc;Health Care;view
262;ORI;Old Republic Intl Corp;Financials;view
263;OSK;Oshkosh Corporation;Industrials;view
264;OZRK;Bank of the Ozarks Inc.;Financials;view
