name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
NATIONAL PETROCHEMICAL COMPANY," Basic Materials, Chemicals, Petrochemicals",6.065 Billion USD,,Saudi Arabia,,,,Not found,1964,,,,,,"1,975 Million USD"
YUNNAN TIN COMPANY," Basic Materials, Mining",6.008 Billion USD,,China,,,,Not found,Not found,,,,,,"8,451 Million USD"
BUCHER INDUSTRIES AG," Industry Machinery, Heavy Vehicles, Commercial Vehicles, Agriculture Machinery",5.318 Billion USD,,Switzerland,,,,Not found,1807,,,,,,"3,398 Million USD"
METROPOLITAN BANK & TRUST CO," Banking Services, Financial Services",4.470 Billion USD,,Philippines,,,,Not found,Not found,,,,,,"2,425 Million USD"
QATAR ELECTRICITY & WATER COMPANY," Utilities, Electric Utilities, Energy",4.972 Billion USD,,Qatar,,,,Not found,1990,,,,,,680 Million USD
AVIENT CORPORATION," Basic Materials, Chemicals, Plastics / Plastic Products",4.756 Billion USD,,USA,,,,Not found,2000,,,,,,"4,818 Million USD"
QATAR GAS TRANSPORT COMPANY (NAKILAT) (QPSC)," Industries, Shipping, Freight Transport",4.607 Billion USD,,Qatar,,,,Not found,2004,,,,,,986 Million USD
MBANK," Financial Services, Banking Services",4.086 Billion USD,,Poland,,,,Not found,1986,,,,,,Not found
ROGERS CORPORATION," Technology, Chemicals, Electronics, Capital Goods",3.978 Billion USD,,USA,,,,Not found,1832,,,,,,932 Million USD
YANGZHOU YANGJIE ELECTRONIC TECHNOLOGY," Technology, Semiconductors",3.609 Billion USD,,China,,,,Not found,Not found,,,,,,640 Million USD
MAREL," Industries, Food Products, Meat / Poultry / Fish / Chicken, Industry Machinery",5.715 Billion USD,,Iceland,,,,Not found,1977,,,,,,"1,500 Million USD"
MERLIN PROPERTIES SOCIMI," Real Estate, Property Investments, Commercial Properties",5.573 Billion USD,,Spain,,,,Not found,2014,,,,,,516 Million USD
EQM MIDSTREAM PARTNERS LP," Energy, Oil and Gas, Utilities, Gas Utilities",4.450 Billion USD,,USA,,,,Not found,2012,,,,,,Not found
JUNGHEINRICH," Industries, Industry Machinery, Commercial Vehicles, Trucks",5.563 Billion USD,,Germany,,,,Not found,1953,,,,,,"4,238 Million USD"
EBARA CORPORATION," Industries, Industry Machinery",4.800 Billion USD,,Japan,,,,Not found,1920,,,,,,"4,775 Million USD"
SHENZHEN KEDALI INDUSTRY," Technology, Electronics, Capital Goods",4.021 Billion USD,,China,,,,Not found,Not found,,,,,,701 Million USD
HONEYWELL AUTOMATION INDIA," Industries, Industry Machinery",4.994 Billion USD,,India,,,,Not found,1984,,,,,,368 Million USD
EVOQUA WATER TECHNOLOGIES," Industries, Technology, Machinery Manufacturing, Manufacturing",4.679 Billion USD,,USA,,,,Not found,Not found,,,,,,"1,464 Million USD"
BLUE OWL CAPITAL INC.," Financial Services, Asset Management",4.510 Billion USD,,USA,,,,Not found,2020,,,,,,823 Million USD
SHANGHAI CONSTRUCTION GROUP," Industries, Construction",3.767 Billion USD,,China,,,,Not found,Not found,,,,,,"44,114 Million USD"
VALMONT INDUSTRIES," Industries, Metal Fabrication Products, Capital Goods, Engineering Products",5.279 Billion USD,,USA,,,,Not found,1946,,,,,,"3,501 Million USD"
GUANGZHOU YUEXIU FINANCIAL HOLDINGS GROUP," Financial Services, Conglomerate",4.872 Billion USD,,China,,,,Not found,Not found,,,,,,"2,082 Million USD"
FTI CONSULTING," Industries, Consumer Services, Professional Services, Consulting Services",4.789 Billion USD,,USA,,,,Not found,1982,,,,,,"3,501 Million USD"
SHENGHE RESOURCES HOLDING CO. LTD," Basic Materials, Mining",6.632 Billion USD,,China,,,,Not found,Not found,,,,,,"1,545 Million USD"
CJ CHEILJEDANG CORPORATION," Consumer Defensive, Food Products, HealthCare Products, FMCG, Package Foods",6.152 Billion USD,,South Korea,,,,Not found,1953,,,,,,"21,397 Million USD"
RLI Corp," Financial Services, Insurance",4.940 Billion USD,,USA,,,,Not found,1965,,,,,,"1,179 Million USD"
KINSALE CAPITAL GROUP," Financial Services, Insurance",4.147 Billion USD,,USA,,,,Not found,2009,,,,,,639 Million USD
RAYTRON TECHNOLOGY," Technology, Electronics, Capital Goods, Sensors, Technology Hardware and Instruments",7.928 Billion USD,,China,,,,Not found,Not found,,,,,,279 Million USD
NINE DRAGONS PAPER (HOLDINGS)," Basic Materials, Paper and Pulp",6.551 Billion USD,,Hong Kong,,,,Not found,1995,,,,,,"8,960 Million USD"
DENALI THERAPEUTICS," Healthcare, Biotechnology, Technology, HealthCare Products",6.471 Billion USD,,USA,,,,Not found,2013,,,,,,"48,661 Million USD"
