name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
XD Inc.,,$1.26 B,,China,,,,,,,$2.68,,2400.HK,,
OFG Bancorp,,$1.26 B,,USA,,,,,,,$26.60,,OFG,,
OPAL Fuels,,$1.26 B,273.0,USA,,,,,,,$7.43,,OPAL,,$0.17 B
VIP Industries,,$1.25 B,,India,,,,,,,$8.86,,VIPIND.NS,,
CTS Corporation,,$1.25 B,,USA,,,,,,,$39.33,,CTS,,
CTS Corporation,,$1.47 B,3.82,CTS,,,,,,,$46.31,,,,$0.57 B
ePlus,,$1.25 B,,USA,,,,,,,$46.58,,PLUS,,
KRUK Spólka Akcyjna,,$1.25 B,,Poland,,,,,,,$65.76,,KRU.WA,,
PBF Logistics,,$1.24 B,,USA,,,,,,,$19.90,,PBFX,,
RBL Bank,,$1.24 B,,India,,,,,,,$2.08,,RBLBANK.NS,,
RHI Magnesita,,$1.24 B,,Austria,,,,,,,$26.39,,RHF.F,,
TANLA,,$1.24 B,,India,,,,,,,$9.13,,TANLA.NS,,
Bonheur ASA,,$1.23 B,,Norway,,,,,,,$29.12,,BONHR.OL,,
Compañía de Acero del Pacífico,,$1.22 B,,Chile,,,,,,,$8.22,,CAP.SN,,
BELLUS Health,,$1.22 B,,Canada,,,,,,,$9.75,,BLU,,
FIGS,,$1.22 B,,USA,,,,,,,$7.37,,FIGS,,
Imago BioSciences,,$1.21 B,,USA,,,,,,,$35.88,,IMGO,,
Mechel PAO,,$1.20 B,,Russia,,,,,,,$2.25,,MTL,,
Casino Guichard-Perrachon,,$1.20 B,,France,,,,,,,$11.13,,CO.PA,,
CropEnergies,,$1.20 B,,Germany,,,,,,,$13.81,,CE2.F,,
3D Systems,,$1.19 B,,USA,,,,,,,$9.13,,DDD,,
ProFrac,,$1.19 B,,USA,,,,,,,$22.08,,PFHC,,
EQRx,,$1.19 B,,USA,,,,,,,$2.44,,EQRX,,
Genesis Energy L.P.,,$1.18 B,,USA,,,,,,,$9.69,,GEL,,
Telephone and Data Systems,,$1.18 B,,USA,,,,,,,$10.41,,TDS,,
RadNet,,$1.17 B,,USA,,,,,,,$20.43,,RDNT,,
dentalcorp,,$1.16 B,,Canada,,,,,,,$6.30,,DNTL.TO,,
MFA Financial,,$1.16 B,298.0,USA,,,,,,,$11.48,,MFA,,-$42.67 M
LSB Industries,,$1.16 B,,USA,,,,,,,$14.25,,LXU,,
EaseMyTrip,,$1.16 B,,India,,,,,,,$0.67,,EASEMYTRIP.NS,,
Global Partners LP,,$1.16 B,,USA,,,,,,,$34.31,,GLP,,
Global Partners LP,,$1.14 B,2.43,GLP,,,,,,,$33.58,,,,$18.54 B
NetDragon Websoft,,$1.16 B,,China,,,,,,,$2.16,,0777.HK,,
HNI Corporation,,$1.16 B,,USA,,,,,,,$28.15,,HNI,,
V2X,,$1.16 B,,USA,,,,,,,$38.11,,VVX,,
MeridianLink,,$1.15 B,,USA,,,,,,,$14.33,,MLNK,,
CVR Partners,,$1.15 B,296.0,USA,,,,,,,$109.36,,UAN,,$0.81 B
Franklin BSP Realty Trust,,$1.15 B,,USA,,,,,,,$13.98,,FBRT,,
TAG Immobilien,,$1.14 B,,Germany,,,,,,,$6.54,,TEG.F,,
TriMas,,$1.14 B,,USA,,,,,,,$27.39,,TRS,,
TriMas,,$1.27 B,3.5,TRS,,,,,,,$30.33,,,,$0.88 B
PDF Solutions,,$1.14 B,,USA,,,,,,,$30.73,,PDFS,,
ProPetro,,$1.14 B,1.5,USA,,,,,,,$10.02,,PUMP,,$1.17 B
ImmunoGen,,$1.14 B,,USA,,,,,,,$5.17,,IMGN,,
YOOZOO Interactive,,$1.13 B,,China,,,,,,,$1.24,,002174.SZ,,
U.S. Physical Therapy,,$1.13 B,3.158,USA,,,,,,,$86.99,,USPH,,$0.54 B
AdvanSix," Basic Materials, Chemicals",$1.12 B,1.375,USA,,,,Not found,Not found,,$40.96,,ASIX,,"1,684 Million USD"
ACLEDA Bank,,$1.12 B,,Cambodia,,,,,,,$2.60,,ABC.KH,,
PGT Innovations,,$1.12 B,,USA,,,,,,,$18.77,,PGTI,,
PROS,,$1.11 B,,USA,,,,,,,$24.57,,PRO,,
SpartanNash,,$1.11 B,17.500,USA,,,,,,,$31.53,,SPTN,,$9.20 B
Modern Times Group (MTG) ,,$1.10 B,,Sweden,,,,,,,$8.96,,MTG-B.ST,,
Rhön-Klinikum,,$1.10 B,,Germany,,,,,,,$16.55,,RHK.DE,,
uniQure,,$1.10 B,,Netherlands,,,,,,,$23.52,,QURE,,
KKR Real Estate Finance Trust,,$1.08 B,,USA,,,,,,,$15.77,,KREF,,
ANGI Homeservices,,$1.08 B,,USA,,,,,,,$2.15,,ANGI,,
MTY Food Group,,$1.08 B,,Canada,,,,,,,$44.27,,MTY.TO,,
STRATEC,,$1.08 B,,Germany,,,,,,,$87.91,,SBS.F,,
RITES,,$1.07 B,,India,,,,,,,$4.47,,RITES.NS,,
S&T AG," Technology, Software and IT, Computers Hardware",$1.07 B,,Austria,,,,Not found,Not found,,$16.25,,SANT.F,,"1,481 Million USD"
Laurentian Bank of Canada,,$1.07 B,,Canada,,,,,,,$24.78,,LB.TO,,
MultiPlan,,$1.07 B,,USA,,,,,,,$1.68,,MPLN,,
MultiPlan,,$0.76 B,2.5,MPLN,,,,,,,$1.20,,,,$1.13 B
UserTesting,,$1.06 B,426.0,USA,,,,,,,$7.35,,USER,,$0.18 B
Miramar Hotel and Investment,,$1.06 B,,Hong Kong,,,,,,,$1.54,,0071.HK,,
Tianyu Digital Technology (Dalian),,$1.06 B,,China,,,,,,,$0.64,,002354.SZ,,
LeMaitre Vascular,,$1.05 B,450.0,USA,,,,,,,$47.98,,LMAT,,$0.16 B
MoneyGram,,$1.05 B,,USA,,,,,,,$10.91,,MGI,,
MoneyGram,,$1.05 B,3.072,MGI,,,,,,,$10.89,,,,$1.29 B
PureCycle Technologies,,$1.04 B,,USA,,,,,,,$6.41,,PCT,,
La-Z-Boy,,$1.04 B,,USA,,,,,,,$24.23,,LZB,,
tuya,,$1.03 B,,China,,,,,,,$1.88,,TUYA,,
Jindal Stainless (Hisar) ,,$1.03 B,,India,,,,,,,$4.75,,JSLHISAR.NS,,
PureTech Health,,$1.03 B,,USA,,,,,,,$36.12,,PRTC,,
REGENXBIO," Healthcare, Biotechnology, Technology, HealthCare Products",$1.02 B,,USA,,,,Not found,Not found,,$23.77,,RGNX,,470 Million USD
VEON,Telecommunications Services,$1.02 B,"43,639",Netherlands,,,,Muhterem Kaan Terzioglu,1992,,$0.52,,VEON,,$8.1B
AZZ," Industries, Construction Materials, Consumer Durables, Electrical Products",$1.02 B,,USA,,,,Not found,Not found,,$41.10,,AZZ,,902 Million USD
AZZ,,$1.09 B,3.885,AZZ,,,,,,,$43.85,,,,$1.17 B
Banco de Brasília,,$1.01 B,,Brazil,,,,,,,$2.93,,BSLI3.SA,,
USANA,,$1.00 B,1.978,USA,,,,,,,$52.38,,USNA,,$1.03 B
MRC Global,,$1.00 B,,USA,,,,,,,$12.00,,MRC,,
MRC Global,,$1.01 B,2.6,MRC,,,,,,,$12.19,,,,$3.18 B
BLS International,,$1.00 B,,India,,,,,,,$2.44,,BLS.NS,,
NaaS Technology,,$1.00 B,,China,,,,,,,$4.68,,NAAS,,
Valneva SE,,$1.00 B,,France,,,,,,,$14.49,,VALN,,
NAPCO Security Technologies,,$1.00 B,1.149,USA,,,,,,,$27.27,,NSSC,,$0.15 B
Madrigal Pharmaceuticals,,$0.99 B,,USA,,,,,,,$58.39,,MDGL,,
OPKO Health,,$0.99 B,,USA,,,,,,,$1.29,,OPK,,
Construcciones y Auxiliar de Ferrocarriles,,$0.99 B,,Spain,,,,,,,$28.95,,CAF.MC,,
ProAssurance,,$0.98 B,1.021,USA,,,,,,,$18.30,,PRA,,$1.10 B
InnovAge,,$0.98 B,,USA,,,,,,,$7.28,,INNV,,
AmRest,,$0.98 B,,Spain,,,,,,,$4.50,,EAT.MC,,
LendingClub,,$0.98 B,,USA,,,,,,,$9.38,,LC,,
GB Group (GBG),,$0.98 B,,UK,,,,,,,$3.90,,GBG.L,,
Dole PLC,,$0.97 B,,Ireland,,,,,,,$10.32,,DOLE,,
GungHo Online Entertainment,,$0.97 B,,Japan,,,,,,,$15.77,,3765.T,,
NCC,,$0.97 B,,Sweden,,,,,,,$9.81,,NCC-B.ST,,
AMERISAFE," Financial Services, Insurance",$0.96 B,371.0,USA,,,,Not found,Not found,,$50.52,,AMSF,,316 Million USD
Rashtriya Chemicals and Fertilizers,,$0.96 B,,India,,,,,,,$1.75,,RCF.NS,,
BSE,,$0.95 B,,India,,,,,,,$7.09,,BSE.NS,,
UMH Properties,,$0.95 B,430.0,USA,,,,,,,$17.13,,UMH,,$0.19 B
RPT Realty,,$0.95 B,,USA,,,,,,,$10.99,,RPT,,
CI&T,,$0.95 B,,Brazil,,,,,,,$7.12,,CINT,,
SkyWest,,$0.95 B,15.205,USA,,,,,,,$18.80,,SKYW,,$3.10 B
HireRight,,$0.94 B,,USA,,,,,,,$11.94,,HRT,,
HireRight,,$0.95 B,2.76,HRT,,,,,,,$12.05,,,,$0.82 B
ConnectOne Bancorp,,$0.94 B,,USA,,,,,,,$24.18,,CNOB,,
iHeartMedia,,$0.94 B,,USA,,,,,,,$7.77,,IHRT,,
SilverCrest Metals,,$0.94 B,,Canada,,,,,,,$6.43,,SILV,,
The Necessity Retail REIT,,$0.94 B,,USA,,,,,,,$6.59,,RTL,,
THG (The Hut Group),,$0.94 B,,UK,,,,,,,$0.70,,THG.L,,
LivePerson,,$0.93 B,1.739,USA,,,,,,,$12.45,,LPSN,,$0.51 B
Barings BDC,,$0.93 B,,USA,,,,,,,$8.61,,BBDC,,
Fortress REIT,,$0.93 B,,South Africa,,,,,,,$0.59,,FFA.JO,,
Banc of California,,$0.93 B,673.0,USA,,,,,,,$15.54,,BANC,,$0.33 B
OneSpaWorld,,$0.93 B,,hamas,,,,,,,$10.10,,OSW,,
Li-Cycle,,$0.92 B,,Canada,,,,,,,$5.29,,LICY,,
CEAT,,$0.92 B,,India,,,,,,,$22.93,,CEATLTD.NS,,
U.S. Silica,,$0.92 B,1.863,USA,,,,,,,$12.24,,SLCA,,$1.39 B
GPA,,$0.92 B,,Brazil,,,,,,,$3.27,,CBD,,
PostNL,,$0.92 B,,Netherlands,,,,,,,$1.90,,PNL.AS,,
Telkom SA,,$0.92 B,,South Africa,,,,,,,$1.89,,TKG.JO,,
NRC Health,,$0.92 B,,USA,,,,,,,$37.29,,NRC,,
OrthoPediatrics,,$0.92 B,,USA,,,,,,,$40.20,,KIDS,,
TomTom,,$0.91 B,,Netherlands,,,,,,,$7.17,,TOM2.AS,,
NBCC India,,$0.91 B,,India,,,,,,,$0.51,,NBCC.NS,,
PROG Holdings,,$0.91 B,,USA,,,,,,,$18.31,,PRG,,
Columbus McKinnon,,$0.90 B,,USA,,,,,,,$31.69,,CMCO,,
Columbus McKinnon,,$1.03 B,3.224,CMCO,,,,,,,$36.32,,,,$0.92 B
B&G Foods,,$0.90 B,,USA,,,,,,,$12.62,,BGS,,
B&G Foods,,$0.99 B,3.096,BGS,,,,,,,$13.84,,,,$2.11 B
UFP Technologies,,$0.90 B,1.828,USA,,,,,,,$118.82,,UFPT,,$0.31 B
Marshalls plc,Building Materials,$0.90 B,,UK,,,Basic Materials,,,,$3.56,,MSLH.L,,
Marshalls plc,Building Materials,$0.97 B,,united-kingdom,,,Basic Materials,,,,$3.87,,,,
CryoPort,,$0.89 B,,USA,,,,,,,$18.29,,CYRX,,
BrightSpire Capital,,$0.88 B,55.0,USA,,,,,,,$6.85,,BRSP,,$0.34 B
WalkMe,,$0.88 B,,Israel,,,,,,,$10.43,,WKME,,
indie Semiconductor,,$0.87 B,,USA,,,,,,,$7.03,,INDI,,
Jeld-Wen,,$0.87 B,,USA,,,,,,,$10.42,,JELD,,
SunOpta,,$0.87 B,,Canada,,,,,,,$8.13,,STKL,,
Plymouth Industrial REIT,,$0.87 B,,USA,,,,,,,$20.21,,PLYM,,
Mensch und Maschine,,$0.87 B,,Germany,,,,,,,$51.03,,MUM.F,,
REV Group,,$0.87 B,,USA,,,,,,,$14.56,,REVG,,
7Road,,$0.87 B,,China,,,,,,,$0.32,,0797.HK,,
OdontoPrev,,$0.86 B,,Brazil,,,,,,,$1.57,,ODPV3.SA,,
AvePoint,,$0.85 B,,USA,,,,,,,$4.59,,AVPT,,
PolyPeptide Group,,$0.85 B,,Switzerland,,,,,,,$25.83,,PPGN.SW,,
IGM Biosciences,,$0.84 B,,USA,,,,,,,$19.79,,IGMS,,
W&T Offshore,,$0.84 B,,USA,,,,,,,$5.91,,WTI,,
IonQ,,$0.84 B,,USA,,,,,,,$4.23,,IONQ,,
MYT Netherlands Parent (Mytheresa),,$0.84 B,,Germany,,,,,,,$9.95,,MYTE,,
i3 Verticals,,$0.83 B,,USA,,,,,,,$25.24,,IIIV,,
WideOpenWest,,$0.83 B,,USA,,,,,,,$9.52,,WOW,,
AnaptysBio,,$0.83 B,102.0,USA,,,,,,,$29.34,,ANAB,,$4.49 M
ViewRay,,$0.83 B,267.0,USA,,,,,,,$4.59,,VRAY,,$87.9 M
UP Fintech (Tiger Brokers),,$0.83 B,,China,,,,,,,$5.40,,TIGR,,
CRA International,,$0.83 B,863.0,USA,,,,,,,$116.50,,CRAI,,$0.58 B
Allegiance Bancshares,,$0.83 B,,USA,,,,,,,$41.63,,ABTX,,
BrainChip,,$0.82 B,,Australia,,,,,,,$0.48,,BRN.AX,,
Dril-Quip,,$0.82 B,,USA,,,,,,,$22.92,,DRQ,,
GoPro,,$0.82 B,,USA,,,,,,,$5.27,,GPRO,,
SMART Global Holdings,,$0.82 B,,USA,,,,,,,$16.90,,SGH,,
SMART Global Holdings,,$0.82 B,3.6,SGH,,,,,,,$16.68,,,,$1.81 B
(DIA) Distribuidora Internacional de Alimentación,,$0.82 B,,Spain,,,,,,,$0.01000,,DIA.MC,,
KSB ltd,,$0.81 B,,India,,,,,,,$23.48,,KSB.NS,,
IDEAYA Biosciences,,$0.81 B,91.0,USA,,,,,,,$16.96,,IDYA,,$49.87 M
CrossAmerica Partners,,$0.80 B,,USA,,,,,,,$21.34,,CAPL,,$4.92 B
SLR Investment,,$0.80 B,,USA,,,,,,,$14.73,,SLRC,,$14.92 M
QCR Holdings,,$0.80 B,,USA,,,,,,,$47.78,,QCRH,,
RCI Hospitality Holdings,,$0.80 B,,USA,,,,,,,$87.14,,RICK,,
RCI Hospitality Holdings,,$0.87 B,2.529,RICK,,,,,,,$95.10,,,,$0.26 B
CBL Properties,,$0.79 B,,USA,,,,,,,$25.12,,CBL,,
ADMA Biologics,,$0.79 B,527.0,USA,,,,,,,$3.67,,ADMA,,$0.13 B
TimkenSteel,,$0.79 B,1.8,USA,,,,,,,$17.97,,TMST,,$1.42 B
BrightSphere Investment Group,,$0.79 B,24.0,USA,,,,,,,$19.27,,BSIG,,$0.45 B
AerSale,,$0.79 B,509.0,USA,,,,,,,$15.41,,ASLE,,$0.43 B
Heritage-Crystal Clean,,$0.79 B,,USA,,,,,,,$32.95,,HCCI,,
AST SpaceMobile,,$0.79 B,386.0,USA,,,,,,,$3.96,,ASTS,,$20.04 M
Artis REIT,,$0.79 B,,Canada,,,,,,,$6.84,,AX-UN.TO,,
ChipMOS Technologies,,$0.79 B,,Taiwan,,,,,,,$21.52,,IMOS,,
4D Molecular Therapeutics,,$0.79 B,,USA,,,,,,,$24.44,,FDMT,,
AMC Networks,,$0.78 B,,USA,,,,,,,$18.33,,AMCX,,
A-Mark Precious Metals,,$0.78 B,,USA,,,,,,,$33.45,,AMRK,,
PropertyGuru,,$0.78 B,,Singapore,,,,,,,$4.85,,PGRU,,
ioneer,,$0.78 B,,Australia,,,,,,,$14.88,,IONR,,
Standard Motor Products (SMP),,$0.77 B,,USA,,,,,,,$36.16,,SMP,,
Dorian LPG,,$0.77 B,,USA,,,,,,,$19.28,,LPG,,
WisdomTree Investments,,$0.77 B,,USA,,,,,,,$5.26,,WETF,,
ESAB India,,$0.77 B,,India,,,,,,,$50.10,,ESABINDIA.NS,,
HealthStream,,$0.76 B,1.074,USA,,,,,,,$25.17,,HSTM,,$0.26 B
ARMOUR Residential REIT,,$0.76 B,,USA,,,,,,,$5.79,,ARR,,
ScanSource,,$0.76 B,2.7,USA,,,,,,,$30.21,,SCSC,,$3.61 B
MMTC,,$0.76 B,,India,,,,,,,$0.51,,MMTC.NS,,
BEML," Industries, Automobile, Industry Machinery, Heavy Machinery, Railway Vehicles and Railway Components, Railway",$0.75 B,,India,,,,Not found,Not found,,$18.15,,BEML.NS,,543 Million USD
IRSA Inversiones y Representaciones,,$0.75 B,,gentina,,,,,,,$4.86,,IRS,,
iTeos Therapeutics,,$0.75 B,,USA,,,,,,,$21.16,,ITOS,,
QNB Finansleasing,,$0.75 B,,Turkey,,,,,,,$6.54,,QNBFL.IS,,
IDT Corporation,,$0.75 B,,USA,,,,,,,$29.43,,IDT,,
SPARC,,$0.74 B,,India,,,,,,,$2.72,,SPARC.NS,,
CTI BioPharma,,$0.74 B,,USA,,,,,,,$5.87,,CTIC,,
UB Properties,,$0.74 B,106.0,USA,,,,,,,$18.60,,UBA,,$0.14 B
MapmyIndia,,$0.74 B,,India,,,,,,,$13.92,,MAPMYINDIA.NS,,
TCG BDC,,$0.73 B,,USA,,,,,,,$14.34,,CGBD,,
flatexDEGIRO AG,,$0.73 B,,Germany,,,,,,,$6.66,,FTK.DE,,
Banco Latinoamericano de Comercio Exterior,,$0.72 B,,Panama,,,,,,,$16.26,,BLX,,
NerdWallet,,$0.72 B,,USA,,,,,,,$9.72,,NRDS,,
Sunlight REIT,,$0.72 B,,Hong Kong,,,,,,,$0.43,,0435.HK,,
TrustCo Bank,,$0.71 B,753.0,USA,,,,,,,$37.71,,TRST,,$0.19 B
POINT Biopharma,,$0.71 B,,USA,,,,,,,$6.79,,PNT,,
ITM Power,,$0.71 B,,UK,,,,,,,$1.16,,ITM.L,,
PubMatic,,$0.71 B,713.0,USA,,,,,,,$13.60,,PUBM,,$0.25 B
ANI Pharmaceuticals,,$0.70 B,,USA,,,,,,,$40.66,,ANIP,,
VTEX," Software and IT, Technology",$0.70 B,,UK,,,,Not found,Not found,,$3.70,,VTEX,,147 Million USD
MarineMax,,$0.70 B,,USA,,,,,,,$32.49,,HZO,,
MarineMax,,$0.75 B,2.666,HZO,,,,,,,$34.47,,,,$2.30 B
DocGo,,$0.70 B,,USA,,,,,,,$6.86,,DCGO,,
SP Plus Corporation,,$0.70 B,,USA,,,,,,,$34.89,,SP,,
SunCoke Energy,,$0.70 B,,USA,,,,,,,$8.42,,SXC,,
Global Medical REIT,,$0.70 B,,USA,,,,,,,$10.06,,GMRE,,
Gorman-Rupp,,$0.69 B,,USA,,,,,,,$26.69,,GRC,,
TravelCenters of America,,$0.69 B,,USA,,,,,,,$46.85,,TA,,
HarborOne Bancorp,,$0.69 B,,USA,,,,,,,$14.14,,HONE,,
Olvi plc,,$0.69 B,,Finland,,,,,,,$33.58,,OLVAS.HE,,
bluebird bio,,$0.69 B,,USA,,,,,,,$8.37,,BLUE,,
BJ's Restaurants,,$0.69 B,,USA,,,,,,,$29.65,,BJRI,,
QuinStreet,,$0.69 B,791.0,USA,,,,,,,$12.88,,QNST,,$0.56 B
sterling & wilson solar,,$0.68 B,,India,,,,,,,$3.63,,SWSOLAR.NS,,
CareDx,,$0.68 B,633.0,USA,,,,,,,$12.85,,CDNA,,$0.31 B
CEWE,,$0.68 B,,Germany,,,,,,,$95.57,,CWC.F,,
BigCommerce,,$0.68 B,,USA,,,,,,,$9.31,,BIGC,,
Gujarat Alkalies and Chemicals,,$0.68 B,,India,,,,,,,$9.30,,GUJALKALI.NS,,
ASOS," Consumer Cyclical, eCommerce, Internet or Mobile App Based Business, Apparels and Accessories, Clothing, Cosmetics, Retail",$0.67 B,,UK,,,,Not found,2000,,$6.38,,ASC.L,,"5,189 Million USD"
iDreamSky,,$0.67 B,,China,,,,,,,$0.48,,1119.HK,,
i-80 Gold,,$0.67 B,,USA,,,,,,,$2.81,,IAUX,,$25.3 M
MBIA,,$0.67 B,,USA,,,,,,,$12.27,,MBI,,
DIC Asset,,$0.67 B,,Germany,,,,,,,$8.10,,DIC.DE,,
First Mid-Illinois Bancshares,,$0.67 B,,USA,,,,,,,$32.83,,FMBH,,
Kaiser (China) Culture,,$0.66 B,,China,,,,,,,$0.70,,002425.SZ,,
ATN International,,$0.66 B,,USA,,,,,,,$42.38,,ATNI,,
ATN International,,$0.75 B,2.3,ATNI,,,,,,,$47.59,,,,$0.72 B
ChannelAdvisor,,$0.66 B,,USA,,,,,,,$23.09,,ECOM,,
CEVA,,$0.66 B,476.0,USA,,,,,,,$28.78,,CEVA,,$0.13 B
AMTD Digital,,$0.66 B,,Hong Kong,,,,,,,$1.70,,AMTD,,
iStar,,$0.66 B,144.0,USA,,,,,,,$7.67,,STAR,,$22.06 M
G-III Apparel Group,,$0.66 B,,USA,,,,,,,$14.00,,GIII,,
G-III Apparel Group,,$0.73 B,2.9,GIII,,,,,,,$15.58,,,,$3.12 B
SandRidge Energy,,$0.66 B,,USA,,,,,,,$17.93,,SD,,
Peapack-Gladstone Financial,,$0.65 B,,USA,,,,,,,$36.78,,PGC,,
Wirtualna Polska (WP Holding),,$0.65 B,,Poland,,,,,,,$22.48,,WPL.WA,,
NextDecade Corp,,$0.65 B,,USA,,,,,,,$4.53,,NEXT,,
INDUS Realty Trust,,$0.65 B,,USA,,,,,,,$63.90,,INDT,,
RGP,,$0.64 B,,USA,,,,,,,$19.18,,RGP,,
PAR Technology,,$0.64 B,,USA,,,,,,,$23.57,,PAR,,
LiveChat Software,,$0.64 B,,Poland,,,,,,,$24.89,,LVC.WA,,
NHN Corp,,$0.63 B,,S. Korea,,,,,,,$19.26,,181710.KS,,
COLOPL,,$0.63 B,,Japan,,,,,,,$4.93,,3668.T,,
edenor,,$0.63 B,,gentina,,,,,,,$7.31,,EDN,,
TrueBlue,,$0.63 B,,USA,,,,,,,$19.32,,TBI,,
Syrma SGS Technology,,$0.63 B,,India,,,,,,,$3.56,,SYRMA.NS,,
BrightView,,$0.62 B,,USA,,,,,,,$6.75,,BV,,
IES Holdings,,$0.62 B,6.781,USA,,,,,,,$31.00,,IESC,,$2.03 B
DoubleUGames,,$0.62 B,,S. Korea,,,,,,,$37.44,,192080.KS,,
DoubleUGames,,$0.66 B,311.0,192080.KS,,,,,,,$39.65,,,,$0.47 B
AlloVir,,$0.62 B,,USA,,,,,,,$6.70,,ALVR,,
RAPT Therapeutics,,$0.62 B,88.0,USA,,,,,,,$18.37,,RAPT,,$2.28 M
RE/MAX Holdings,,$0.62 B,639.0,USA,,,,,,,$20.23,,RMAX,,$0.36 B
SilverBow Resources,,$0.62 B,62.0,USA,,,,,,,$27.88,,SBOW,,$0.70 B
Transport Corporation of India,,$0.62 B,,India,,,,,,,$8.01,,TCI.NS,,
2U," Consumer Defensive, Software and IT, Technology, Software Products, Education",$0.61 B,,USA,,,,Not found,Not found,,$7.85,,TWOU,,945 Million USD
VRL Logistics,,$0.61 B,,India,,,,,,,$6.95,,VRLLOG.NS,,
DRDGOLD,,$0.61 B,,South Africa,,,,,,,$7.14,,DRD,,
YG Entertainment,,$0.61 B,,S. Korea,,,,,,,$33.66,,122870.KQ,,
Kura Sushi USA,,$0.61 B,,USA,,,,,,,$62.49,,KRUS,,
Hingham Institution for Savings,,$0.60 B,,USA,,,,,,,$284.11,,HIFS,,
MediaAlpha,,$0.60 B,,USA,,,,,,,$10.04,,MAX,,
TPG Real Estate Finance Trust,,$0.60 B,,USA,,,,,,,$7.78,,TRTX,,
Com2uS,,$0.59 B,,S. Korea,,,,,,,$48.14,,078340.KQ,,
Com2uS,,$0.65 B,1.205,078340.KQ,,,,,,,$52.62,,,,
CION Investment,,$0.59 B,,USA,,,,,,,$10.79,,CION,,
Emergent BioSolutions,,$0.59 B,,USA,,,,,,,$11.91,,EBS,,
Emergent BioSolutions,,$0.66 B,2.416,EBS,,,,,,,$13.43,,,,$1.51 B
VSE Corporation,,$0.59 B,2.5,USA,,,,,,,$46.28,,VSEC,,$0.92 B
NEUCA,,$0.59 B,,Poland,,,,,,,$137.38,,NEU.WA,,
PDS Multinational,,$0.59 B,,India,,,,,,,$22.65,,PDSMFL.NS,,
Via S.A.,,$0.58 B,,Brazil,,,,,,,$0.37,,VIIA3.SA,,
JBM Auto,,$0.58 B,,India,,,,,,,$4.95,,JBMA.NS,,
YIT,,$0.58 B,,Finland,,,,,,,$2.80,,YIT.HE,,
NETGEAR,,$0.58 B,,USA,,,,,,,$20.29,,NTGR,,
BBVA Argentina,,$0.58 B,,gentina,,,,,,,$2.87,,BBAR,,
Coherus BioSciences,,$0.58 B,,USA,,,,,,,$7.51,,CHRS,,
JSW Holdings,,$0.57 B,,India,,,,,,,$52.26,,JSWHL.NS,,
ACM Research,,$0.56 B,,USA,,,,,,,$9.58,,ACMR,,
MaxCyte,,$0.56 B,,USA,,,,,,,$5.58,,MXCT,,
SIGA Technologies,,$0.56 B,39.0,USA,,,,,,,$7.78,,SIGA,,$0.21 B
1-800-Flowers,,$0.56 B,,USA,,,,,,,$8.78,,FLWS,,
FDC India,,$0.56 B,,India,,,,,,,$3.42,,FDC.NS,,
HBT Financial,,$0.56 B,,USA,,,,,,,$19.70,,HBT,,
AudioCodes,,$0.56 B,,Israel,,,,,,,$17.75,,AUDC,,
Materialise NV,,$0.56 B,,Belgium,,,,,,,$9.52,,MTLS,,
CMGE Technology Group,,$0.55 B,,China,,,,,,,$0.20,,0302.HK,,
VIB Vermögen,,$0.55 B,,Germany,,,,,,,$20.01,,VIH1.F,,
CSB Bank,,$0.55 B,,India,,,,,,,$3.19,,CSBBANK.NS,,
MetroCity Bankshares,,$0.55 B,,USA,,,,,,,$21.89,,MCBS,,
loanDepot,,$0.55 B,,USA,,,,,,,$1.68,,LDI,,
Equity BancShares,,$0.55 B,,USA,,,,,,,$34.57,,EQBK,,
ZeroFox,,$0.55 B,,USA,,,,,,,$4.66,,ZFOX,,
TerrAscend,,$0.54 B,,Canada,,,,,,,$1.60,,TRSSF,,
FRP Holdings,,$0.54 B,,USA,,,,,,,$57.70,,FRPH,,
NuScale Power,,$0.54 B,,USA,,,,,,,$10.51,,SMR,,
TH International (Tims China),,$0.54 B,,China,,,,,,,$3.65,,THCH,,
CIRCOR International,,$0.54 B,,USA,,,,,,,$26.54,,CIR,,
CIRCOR International,,$0.53 B,3.1,CIR,,,,,,,$26.37,,,,$0.76 B
BioXcel Therapeutics,,$0.53 B,89.0,USA,,,,,,,$19.10,,BTAI,,$0.13 M
PlayWay,,$0.53 B,,Poland,,,,,,,$80.35,,6P5.F,,
REX American Resources,,$0.53 B,,USA,,,,,,,$30.51,,REX,,
CinCor Pharma,,$0.53 B,,USA,,,,,,,$12.12,,CINC,,
GH Research,,$0.52 B,,Ireland,,,,,,,$10.18,,GHRS,,
Sprague Resources LP,,$0.52 B,757.0,USA,,,,,,,$20.00,,SRLP,,
Orion Office REIT,,$0.52 B,,USA,,,,,,,$9.25,,ONL,,
SurModics,,$0.52 B,389.0,USA,,,,,,,$37.31,,SRDX,,$99.95 M
MidWestOne Financial Group,,$0.52 B,,USA,,,,,,,$33.46,,MOFG,,
PennantPark Floating Rate,,$0.51 B,,USA,,,,,,,$11.45,,PFLT,,
AVEO Oncology,,$0.51 B,,USA,,,,,,,$14.90,,AVEO,,
Bank of Marin Bancorp,,$0.51 B,,USA,,,,,,,$32.21,,BMRC,,
EHang Holdings,,$0.51 B,,China,,,,,,,$8.99,,EH,,
