,name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
248,Naspers Ltd,Internet Content & Information,$47.73 B," 28,445",South Africa,"CapeTown,SouthAfrica",,Communication Services, Mr. Bob  van Dijk,,,,,NPN,,
249,"CrowdStrike Holdings, Inc.",Software—Infrastructure,$47.89 B," 4,965",United States,"Sunnyvale,CA,UnitedStates",,Technology, Mr. George R. Kurtz, 2011,,,,CRWD,,
250,Grupo Mexico SAB de CV,Other Industrial Metals & Mining,$48.00 B," 29,707",Mexico,"MexicoCity,DF,Mexico",,Basic Materials,,,,,,GMEXICOB,,
251,"O'Reilly Automotive, Inc.",Specialty Retail,$48.14 B," 82,852",United States,"Springfield,MO,UnitedStates",,Consumer Discretionary, Mr. Gregory D. Johnson," December 2, 1957",,,,ORLY,,
252,Johnson Controls International plc,Engineering & Construction,$48.15 B," 101,000",Ireland,"Cork,Ireland",,Industrials, Mr. George R. Oliver, 1885,,,,JCI,,
253,"VMware, Inc.",Software—Infrastructure,$48.17 B," 34,000",United States,"PaloAlto,CA,UnitedStates",,Technology, Mr. Rangarajan  Raghuram," February 10, 1998",,,,VMW,,
254,Suncor Energy Inc.,Oil & Gas Integrated,$48.27 B," 16,922",Canada,"Calgary,AB,Canada",,Energy, Mr. Mark S. Little," Montreal, Quebec, Canada in 1919",,,,SU,,
255,McKesson Corporation,Medical Distribution,$48.46 B," 59,000",United States,"Irving,TX,UnitedStates",,Healthcare, Mr. Brian S. Tyler Ph.D.," New York City, United States1833",,,,MCK,,
256,Rosneft Oil Co PJSC,Oil & Gas Integrated,$48.50 B,,Russia,"Moscow,Russia",,Energy, Mr. Igor Ivanovich Sechin,,,,,ROSN,,
257,Dow Inc.,Chemicals,$48.50 B," 35,700",United States,"Midland,MI,UnitedStates",,Basic Materials, Mr. James R. Fitterling," April 1, 2019",,,,DOW,,
258,Lululemon Athletica Inc.,Apparel Retail,$48.52 B," 25,000",Canada,"Vancouver,BC,Canada",,Consumer Discretionary, Mr. Calvin R. McDonald, 1998,,,,LULU,,
259,"MediaTek, Inc.",Semiconductors,$48.74 B,,Taiwan,"HsinchuCity,Taiwan",,Technology, Dr. Lih Shyng  Tsai Ph.D.,,,,,2454,,
260,Scentre Group,REIT—Retail,$48.83 B," 2,780",Australia,"Sydney,NSW,Australia",,Real Estate, Mr. Peter Kenneth Allen, 2014,,,,SCG,,
261,Hitachi Ltd,Conglomerates,$48.92 B," 350,864",Japan,"Tokyo,Japan",,Industrials, Mr. Toshiaki  Higashihara,,,,,6501,,
262,Wanhua Chemical Group Co. Ltd,Chemicals,$39.73 B," 19,692",China,"Yantai,China",,Basic Materials,,,,,,600309,,
263,United Overseas Bank Ltd,Banks,$39.73 B," 24,346",Singapore,"Singapore,Singapore",,Financials," Mr. Ee Cheong  Wee B.Sc., M.A.",,,,,U11,,
264,Xcel Energy Inc.,Utilities—Regulated Electric,$39.76 B," 11,321",United States,"Minneapolis,MN,UnitedStates",,Utilities, Mr. Robert C. Frenzel, 1909,,,,XEL,,
265,Welltower Inc.,REIT—Healthcare Facilities,$39.96 B, 464,United States,"Toledo,OH,UnitedStates",,Real Estate, Mr. Shankh S. Mitra, 1970,,,,WELL,,
266,MSCI Inc.,Financial Data & Stock Exchanges,$39.97 B," 4,303",United States,"NewYork,NY,UnitedStates",,Financials, Mr. Henry A. Fernandez, 1968,,,,MSCI,,
267,BOC Hong Kong Holdings Ltd,Banks,$39.99 B," 14,462",Hong Kong,"Central,HongKong",,Financials, Mr. Yu  Sun,,,,,2388,,
268,Baxter International Inc.,Medical Instruments & Supplies,$40.13 B," 60,000",United States,"Deerfield,IL,UnitedStates",,Healthcare, Mr. Jose E. Almeida, 1931,,,,BAX,,
269,CITIC Securities Company Ltd,Capital Markets,$40.17 B," 11,380",China,"Shenzhen,China",,Financials,,,,,,600030,,
270,Global Payments Inc.,Specialty Business Services,$40.35 B," 25,000",United States,"Atlanta,GA,UnitedStates",,Industrials, Mr. Jeffrey S. Sloan J.D., 2000,,,,GPN,,
271,"Agilent Technologies, Inc.",Diagnostics & Research,$40.49 B," 17,200",United States,"SantaClara,CA,UnitedStates",,Healthcare, Mr. Michael R. McMullen, 1999,,,,A,,
