,tab1,attr1,tab2,attr2,prob,matcher
135,table_1,employees,disfold.csv,Employees,0.8317251,Coma
136,table_1,founded,disfold.csv,Founded,0.82708114,Coma
137,table_1,name,disfold.csv,Name,0.8176273,Coma
138,table_1,ceo,disfold.csv,CEO,0.8135065,Coma
139,table_1,sector,disfold.csv,Top Competitor,0.3586988,Coma
140,table_1,industry,gren-disfold.com.json,industry,0.84648186,Coma
141,table_1,country,gren-disfold.com.json,country,0.8440309,Coma
142,table_1,sector,gren-disfold.com.json,sector,0.84127355,Coma
143,table_1,stock,gren-disfold.com.json,stock,0.83814853,Coma
144,table_1,name,gren-disfold.com.json,name,0.8345771,Coma
145,table_1,market_cap,gren-disfold.com.json,market_capitalization_USD,0.5309225,Coma
146,table_1,headquarters,famcap_germany.csv,Headquarters,0.8352946,Coma
147,table_1,employees,famcap_germany.csv,Employees,0.8299118,Coma
148,table_1,founded,famcap_germany.csv,Founded,0.8252678,Coma
149,table_1,website,famcap_germany.csv,Website,0.8252678,Coma
150,table_1,sector,famcap_germany.csv,Sector,0.8225105,Coma
151,table_1,revenue,famcap_germany.csv,Revenues 2018 $m,0.51817954,Coma
152,table_1,country,famcap_germany.csv,Company,0.4036992,Coma
153,table_1,stock,famcap_germany.csv,Rank,0.31699818,Coma
154,table_1,country,gren-ft.com.json,country,0.826169,Coma
155,table_1,sector,gren-ft.com.json,sector,0.8234116,Coma
156,table_1,name,gren-ft.com.json,name,0.8167151,Coma
157,table_1,revenue,gren-ft.com.json,revenue_2020_EU,0.53585887,Coma
158,table_1,revenue,gren-ft.com.json,revenue_2017_EU,0.53585887,Coma
159,table_1,employees,gren-ft.com.json,employees_number_2020,0.52499247,Coma
160,table_1,employees,gren-ft.com.json,employees_number_2017,0.52499247,Coma
161,table_1,founded,gren-ft.com.json,founding_year,0.45361993,Coma
162,table_1,country,followers.csv,Company,0.3124383,Coma
163,table_1,industry,followers.csv,Instagram,0.21795724,Coma
164,table_1,sector,followers.csv,Twitter,0.19300869,Coma
165,table_1,stock,followers.csv,Facebook,0.19300869,Coma
166,table_1,address,followers.csv,Pinterest,0.17812456,Coma
167,table_1,name,gren-value.today.json,name,0.79186565,Coma
168,table_1,ceo,gren-value.today.json,CEO,0.7877448,Coma
169,table_1,headquarters,gren-value.today.json,headquarters_country,0.592232,Coma
170,table_1,employees,gren-value.today.json,employees_number,0.5613375,Coma
171,table_1,market_cap,gren-value.today.json,market_capitalization_2022,0.4793657,Coma
172,table_1,revenue,gren-value.today.json,annual_revenue_USD,0.39007312,Coma
173,table_1,industry,forbes.csv,Industry,0.82414377,Coma
